Close,High,Low,Open,Volume
1486.4000244140625,1497.5,1485.0,1490.0,0
1484.5999755859375,1488.5,1482.5999755859375,1486.199951171875,509773
1487.5999755859375,1492.800048828125,1482.800048828125,1484.0999755859375,544222
1489.0,1491.9000244140625,1485.800048828125,1487.9000244140625,853024
1489.699951171875,1490.0999755859375,1485.4000244140625,1489.0,1289906
1486.4000244140625,1491.5999755859375,1485.0,1489.699951171875,2946670
1486.4000244140625,1487.9000244140625,1486.0,1486.5,1514561
1488.5,1491.5,1479.5,1487.0999755859375,0
1491.199951171875,1495.0,1486.4000244140625,1487.5,624768
1489.0,1494.4000244140625,1488.5,1491.199951171875,1558872
1486.699951171875,1493.0,1485.0,1488.800048828125,1031031
1488.300048828125,1490.699951171875,1484.5,1486.800048828125,1778003
1484.5,1490.300048828125,1483.300048828125,1488.199951171875,1693931
1487.0,1487.5,1484.0,1484.5,453907
1488.0999755859375,1492.5999755859375,1482.300048828125,1482.9000244140625,0
1489.5,1491.9000244140625,1486.5999755859375,1488.0999755859375,835148
1485.5,1491.199951171875,1483.5,1489.5999755859375,1328945
1480.5,1487.9000244140625,1480.199951171875,1485.4000244140625,1229054
1479.9000244140625,1483.5999755859375,1478.5,1480.5999755859375,1509023
1472.0999755859375,1480.699951171875,1471.0999755859375,1479.800048828125,3187230
1473.0999755859375,1473.5,1470.5,1472.0999755859375,858566
1493.199951171875,1501.4000244140625,1477.199951171875,1480.0999755859375,0
1497.0,1498.699951171875,1493.0,1493.199951171875,1332908
1494.800048828125,1497.800048828125,1492.800048828125,1497.0999755859375,1115699
1489.5999755859375,1497.800048828125,1486.300048828125,1495.199951171875,2280145
1493.5999755859375,1494.9000244140625,1486.800048828125,1489.5999755859375,2465304
1493.699951171875,1498.199951171875,1492.0999755859375,1493.699951171875,4380393
1496.0999755859375,1496.0999755859375,1493.5,1493.699951171875,1086885
1493.5,1498.199951171875,1485.0999755859375,1493.699951171875,0
1494.300048828125,1495.4000244140625,1490.300048828125,1493.0,892248
1488.5,1495.9000244140625,1487.5,1494.300048828125,1057131
1481.699951171875,1488.699951171875,1480.800048828125,1488.5,955858
1480.0,1486.0,1478.199951171875,1482.0,860954
1476.9000244140625,1483.5,1476.0,1480.4000244140625,1456796
1480.5,1480.5999755859375,1476.5999755859375,1476.9000244140625,703610
1492.5,1494.9000244140625,1478.0,1478.0,0
1492.5999755859375,1493.800048828125,1488.0,1492.300048828125,839560
1494.5999755859375,1500.5999755859375,1492.199951171875,1492.5,1370881
1497.300048828125,1499.5,1493.199951171875,1494.9000244140625,520636
1493.4000244140625,1497.5999755859375,1492.4000244140625,1497.4000244140625,793234
1488.5,1494.9000244140625,1487.800048828125,1493.4000244140625,1634342
1489.699951171875,1490.9000244140625,1488.4000244140625,1488.5,679432
