Close,High,Low,Open,Volume
934.9000244140625,934.9000244140625,930.25,934.7000122070312,0
937.0,937.0,933.5,934.9000244140625,129900
939.25,939.3499755859375,937.0,937.25,182747
939.9000244140625,940.0,938.25,939.2000122070312,116799
937.2999877929688,939.8499755859375,937.2999877929688,939.7000122070312,166829
937.75,939.0499877929688,936.9500122070312,937.5,153889
937.2999877929688,938.5,936.4500122070312,937.6500244140625,117363
938.0999755859375,938.9000244140625,937.2000122070312,937.25,88035
939.9000244140625,940.0999755859375,938.0,938.0999755859375,156929
938.75,940.2999877929688,938.6500244140625,939.75,165255
937.2000122070312,938.9500122070312,936.6500244140625,938.75,145923
938.2999877929688,938.5499877929688,936.3499755859375,937.0999755859375,107443
937.8499755859375,938.4500122070312,936.7999877929688,938.4500122070312,45499
936.75,937.7999877929688,936.75,937.7000122070312,58248
937.5499877929688,937.7000122070312,936.0999755859375,936.75,70362
936.0999755859375,937.5,935.7999877929688,937.5,68262
934.9500122070312,936.0499877929688,934.6500244140625,935.8499755859375,215047
937.2000122070312,937.4500122070312,934.7000122070312,934.9000244140625,72690
937.5,938.3499755859375,937.0499877929688,937.2000122070312,71584
937.0,937.75,936.7000122070312,937.2000122070312,62591
936.3499755859375,937.0,936.0,936.9000244140625,115989
937.0,937.25,935.5499877929688,936.2999877929688,36583
936.9500122070312,937.25,935.7000122070312,937.0,142359
937.5,938.2999877929688,936.8499755859375,936.9500122070312,180664
941.0499877929688,941.0499877929688,937.2999877929688,937.5999755859375,141879
942.9000244140625,944.1500244140625,940.25,941.0,414609
943.5,944.4000244140625,941.7999877929688,942.5499877929688,233825
944.6500244140625,944.9500122070312,941.8499755859375,943.2999877929688,137437
944.5499877929688,946.7000122070312,944.4000244140625,944.5499877929688,282830
944.0499877929688,944.2999877929688,942.4500122070312,944.2000122070312,342547
944.2000122070312,945.0,943.9000244140625,943.9000244140625,123857
946.25,946.25,944.2999877929688,944.2999877929688,131741
945.2000122070312,946.25,944.4000244140625,946.2000122070312,221557
945.25,945.8499755859375,944.7999877929688,945.2000122070312,194710
943.1500244140625,945.7000122070312,942.7999877929688,945.5,159719
941.8499755859375,943.9500122070312,941.7000122070312,943.1500244140625,169187
943.0,943.0,940.75,941.7999877929688,178343
941.2000122070312,943.0,940.7000122070312,942.9500122070312,255389
940.3499755859375,941.2999877929688,940.2000122070312,941.2000122070312,118614
940.2999877929688,940.7999877929688,940.0,940.3499755859375,56203
940.2000122070312,940.4000244140625,939.5499877929688,940.3499755859375,77952
939.2999877929688,941.5,939.2000122070312,940.25,239706
939.5499877929688,940.0,938.5999755859375,939.3499755859375,162913
939.9000244140625,940.0499877929688,938.9000244140625,939.5499877929688,147863
941.3499755859375,941.8499755859375,939.6500244140625,939.6500244140625,169106
940.6500244140625,942.7000122070312,940.3499755859375,941.4000244140625,208220
940.6500244140625,941.2999877929688,940.2000122070312,940.6500244140625,52014
939.2999877929688,940.9000244140625,939.2999877929688,940.5999755859375,60614
940.3499755859375,940.4500122070312,939.0,939.3499755859375,131123
939.9500122070312,940.5,939.5999755859375,940.4500122070312,44768
939.4000244140625,939.9500122070312,939.0999755859375,939.9500122070312,54571
937.9000244140625,939.5499877929688,937.7000122070312,939.3499755859375,223216
937.75,938.4500122070312,937.25,937.8499755859375,201056
937.75,938.0,937.5999755859375,937.9000244140625,32458
938.0499877929688,938.2999877929688,937.6500244140625,937.6500244140625,67665
938.2999877929688,938.5999755859375,937.9500122070312,937.9500122070312,27862
938.5999755859375,938.7000122070312,938.0999755859375,938.4500122070312,67730
938.5999755859375,938.8499755859375,938.0,938.6500244140625,90763
936.9500122070312,938.5999755859375,936.4000244140625,938.5999755859375,163938
937.9000244140625,938.2000122070312,936.6500244140625,936.9000244140625,162431
937.6500244140625,938.0,937.0,938.0,47254
937.7999877929688,938.25,937.5,937.6500244140625,111813
939.9000244140625,939.9000244140625,937.75,937.8499755859375,152219
938.0999755859375,939.9000244140625,938.0,939.5499877929688,140899
938.0,938.7000122070312,937.2000122070312,938.25,186400
939.0999755859375,939.3499755859375,937.8499755859375,937.9500122070312,138161
938.5,939.0499877929688,938.5,939.0499877929688,53363
937.8499755859375,938.9000244140625,937.6500244140625,938.5,128217
938.6500244140625,938.8499755859375,937.9000244140625,937.9000244140625,43210
936.5499877929688,938.25,936.5,938.25,400091
935.7999877929688,936.7000122070312,935.7000122070312,936.5999755859375,398441
936.3499755859375,936.5,935.6500244140625,935.8499755859375,365471
937.4500122070312,937.5,936.25,936.2999877929688,440562
937.9500122070312,938.0499877929688,937.25,937.5499877929688,563946
936.5499877929688,938.2999877929688,936.4000244140625,937.9000244140625,420100
945.5499877929688,946.1500244140625,938.4000244140625,938.4000244140625,0
945.4500122070312,948.5,945.4500122070312,945.5,593716
943.5999755859375,945.7000122070312,943.3499755859375,945.5999755859375,526359
942.0999755859375,944.0,941.0999755859375,943.3499755859375,258164
942.4000244140625,943.7000122070312,940.4000244140625,942.5499877929688,182125
943.5499877929688,943.7999877929688,942.25,942.8499755859375,177960
942.8499755859375,943.6500244140625,942.25,943.3499755859375,108611
943.8499755859375,944.5999755859375,941.7999877929688,942.8499755859375,111153
942.7999877929688,944.4000244140625,942.5,943.7000122070312,40790
944.8499755859375,945.2000122070312,942.9000244140625,942.9500122070312,110710
945.0499877929688,945.7999877929688,944.5499877929688,944.7999877929688,122608
947.4000244140625,948.0,944.7000122070312,945.0499877929688,137138
947.8499755859375,948.2999877929688,946.2000122070312,947.6500244140625,97189
950.0,950.2999877929688,947.8499755859375,947.8499755859375,337009
