Date,Close,High,Low,Open,Volume,symbol,swing_high,swing_low,last_swing_high,last_swing_low,bos,bos_down,range_ok,buy_signal,sell_signal,position,entry_price,risk_amount,qty,trade_pnl,equity_curve,strategy_returns,peak,drawdown
2015-01-01 00:00:00,189.9998016357422,190.87715534273178,189.0903506676063,189.65743085018167,2963643.0,RELIANCE.NS,False,False,,,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-02 00:00:00,189.4969482421875,191.74382815812206,189.22947104058622,190.04261601795088,7331366.0,RELIANCE.NS,False,False,,,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-05 00:00:00,187.4212646484375,190.6417900892634,187.04678228843514,189.37925486692558,10103941.0,RELIANCE.NS,False,False,,,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-06 00:00:00,178.9152069091797,186.8113605430401,178.03785333108556,186.16940112993157,18627980.0,RELIANCE.NS,False,True,,178.03785333108556,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-07 00:00:00,182.80982971191406,183.77277619196656,179.1078453068099,179.12924348261123,20720312.0,RELIANCE.NS,False,False,,178.03785333108556,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-08 00:00:00,180.1884765625,184.650124649003,179.78189694949202,184.05094717483541,19872227.0,RELIANCE.NS,False,False,,178.03785333108556,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-09 00:00:00,184.09375,184.457533275433,180.81974337459295,181.54729564096232,13392787.0,RELIANCE.NS,False,False,,178.03785333108556,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-12 00:00:00,181.95387268066406,184.24354889589054,180.0921885470929,184.13655801772492,10100113.0,RELIANCE.NS,False,False,,178.03785333108556,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-13 00:00:00,180.42385864257812,182.94891476700133,179.85679270891694,182.53163606142144,9948711.0,RELIANCE.NS,False,False,,178.03785333108556,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-14 00:00:00,178.66915893554688,181.2477104052324,177.86669881659475,180.39175484961623,11380041.0,RELIANCE.NS,False,True,,177.86669881659475,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-15 00:00:00,184.93898010253906,186.40479779837128,179.74978033395087,179.74978033395087,16927085.0,RELIANCE.NS,False,False,,177.86669881659475,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-16 00:00:00,186.105224609375,187.23935634856096,182.3283327949327,184.02953040371162,19136963.0,RELIANCE.NS,False,False,,177.86669881659475,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-19 00:00:00,188.2344512939453,189.59326422041164,183.76210335218167,186.2122662538906,13339962.0,RELIANCE.NS,False,False,,177.86669881659475,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-20 00:00:00,193.24172973632812,193.77669838636558,188.06321434843136,188.63029454489703,13361320.0,RELIANCE.NS,False,False,,177.86669881659475,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-21 00:00:00,194.033447265625,195.02849080469736,190.8878303629104,193.6589792661306,17084297.0,RELIANCE.NS,True,False,195.02849080469736,177.86669881659475,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-22 00:00:00,189.1117706298828,194.12978549981565,188.20231962566118,193.69110862891478,23721627.0,RELIANCE.NS,False,False,195.02849080469736,177.86669881659475,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-23 00:00:00,189.78582763671875,192.11828584647952,187.66735117666227,190.44918534529805,18080494.0,RELIANCE.NS,False,True,195.02849080469736,187.66735117666227,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-27 00:00:00,190.2458953857422,191.88289856167683,188.41629435796523,191.06973937499922,17939876.0,RELIANCE.NS,False,False,195.02849080469736,187.66735117666227,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-28 00:00:00,194.05490112304688,194.68617592947535,189.61465072299592,189.61465072299592,19298126.0,RELIANCE.NS,False,False,195.02849080469736,187.66735117666227,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-29 00:00:00,198.88034057617188,199.97167624126786,194.06560760133866,194.10840395804846,36117653.0,RELIANCE.NS,True,False,199.97167624126786,187.66735117666227,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-01-30 00:00:00,195.8523712158203,199.27617902007137,194.5149424979657,199.00868756270236,21746801.0,RELIANCE.NS,False,False,199.97167624126786,187.66735117666227,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-02-02 00:00:00,194.3116912841797,196.84744671575802,193.80881983332242,196.02358832102465,19302710.0,RELIANCE.NS,False,True,199.97167624126786,193.80881983332242,False,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-02-03 00:00:00,200.63499450683594,201.3304494012705,195.413683259693,195.413683259693,17092333.0,RELIANCE.NS,False,False,199.97167624126786,193.80881983332242,True,False,True,0.0,0.0,0.0,189.9998016357422,2000.0,1052.632677919473,0.0,1.0,0.0,1.0,0.0
2015-02-04 00:00:00,198.75192260742188,201.96173460093706,198.13136124086165,200.9559917954961,14072894.0,RELIANCE.NS,True,False,201.96173460093706,193.80881983332242,False,False,True,1.0,0.0,1.0,198.75192260742188,2000.0,1006.2795739342022,0.0,1.0,0.0,1.0,0.0
2015-02-05 00:00:00,197.6605682373047,201.1271580029095,196.3552368185314,200.2926149635579,12365643.0,RELIANCE.NS,False,False,201.96173460093706,193.80881983332242,False,False,True,0.0,0.0,1.0,198.75192260742188,2000.0,1006.2795739342022,0.0,1.0,0.0,1.0,0.0
2015-02-06 00:00:00,194.70755004882812,199.00869747891824,193.23103312750717,197.74617659105456,9045844.0,RELIANCE.NS,False,False,201.96173460093706,193.80881983332242,False,False,True,0.0,0.0,1.0,198.75192260742188,2000.0,1006.2795739342022,0.0,1.0,0.0,1.0,0.0
2015-02-09 00:00:00,191.8828887939453,196.4408282162597,190.87714609111782,192.84583515065205,8839692.0,RELIANCE.NS,False,False,201.96173460093706,193.80881983332242,False,True,True,0.0,0.0,1.0,198.75192260742188,2000.0,1006.2795739342022,0.0,1.0,0.0,1.0,0.0
2015-02-10 00:00:00,188.73727416992188,193.55199173331846,184.3077237267607,192.16108189681194,13651008.0,RELIANCE.NS,False,True,201.96173460093706,184.3077237267607,False,False,True,0.0,1.0,-1.0,188.73727416992188,2000.0,1059.6740939467961,0.0,1.0,0.0,1.0,0.0
2015-02-11 00:00:00,192.73883056640625,193.60548508265373,188.9512399283571,189.59319935896937,9781008.0,RELIANCE.NS,False,False,201.96173460093706,184.3077237267607,False,False,True,0.0,0.0,-1.0,188.73727416992188,2000.0,1059.6740939467961,0.0,1.0,0.0,1.0,0.0
2015-02-12 00:00:00,194.5470428466797,195.5741837758089,189.86071414308964,194.30096384372987,8709626.0,RELIANCE.NS,False,False,201.96173460093706,184.3077237267607,False,False,True,0.0,0.0,-1.0,188.73727416992188,2000.0,1059.6740939467961,0.0,1.0,0.0,1.0,0.0
